CSV Name,Matched DB Name,Similarity Score
"Eastern Institute of Technology, Napier",New England Institute of Technology,81.08108108108108
"University of Antwerp, Antwerp",University of Antwerp,82.35294117647058
"LAB University of Applied Sciences, Lahti",IU University of Applied Sciences,83.78378378378379
"Karelia University of Applied Sciences, Joensuu",Macromedia University of Applied Sciences,81.81818181818181
"Arcada University of Applied Sciences, Helsinki",Frankfurt University of Applied Sciences,80.45977011494253
"NEOMA Business School, Rouen",NEOMA Business School,85.71428571428572
"ESCE International Business School, Paris",CBS International Business School,83.78378378378379
"ESSCA School of Management, Angers",ESSCA School of Management,86.66666666666667
"SKEMA Business School, Paris",SKEMA Business School,85.71428571428572
"Burgundy School of Business, Dijon",Burgundy School of Business,88.52459016393442
"EPITA - School of Engineering and Computer Science, Paris",EPITA - School of Engineering and Computer Science,93.45794392523364
"Berlin School of Business and Innovation, Paris",Berlin School of Business and Innovation (BSBI),85.1063829787234
"Constructor University, Bremen",Constructor University,84.61538461538461
"International School of Management, Dortmund",ISM - International School of Management,83.33333333333334
"CBS International Business School, Cologne",CBS International Business School,88.0
"Arden University, Berlin",Arden University Berlin,97.87234042553192
"New European College, Munich",New European College,83.33333333333334
"EU Business School, Munich",Munich Business School,91.66666666666666
"Munich Business School, Munich",Munich Business School,84.61538461538461
"Berlin School of Business and Innovation, Berlin",Berlin School of Business and Innovation (BSBI),88.42105263157895
"Fresenius University of Applied Sciences, Idstein",Frankfurt University of Applied Sciences,80.89887640449437
"University of Europe for Applied Sciences, Hamburg",Hamburg University of Applied Sciences,86.36363636363636
"Hochschule Macromedia University of Applied Sciences, Munich",Macromedia University of Applied Sciences,81.1881188118812
"EU Business School, Barcelona",Aspire Business School Barcelona,81.9672131147541
"C3S Business School, Barcelona",Aspire Business School Barcelona,80.64516129032258
"Missouri University of Science and Technology, Rolla, Missouri",Missouri University of Science and Technology,84.11214953271028
"California State University, Northridge, California",California State University Northridge,85.39325842696628
"California State University, Fresno, California",California State University Fresno,83.9506172839506
"California State University, East Bay, California",California State University East Bay,84.70588235294117
"California State University, Dominguez Hills, California",California State University Dominguez Hills,86.86868686868688
"Texas A & M University, Corpus Christi, Texas",Texas A & M University Corpus Christi,90.2439024390244
"Southern Illinois University, Edwardsville, Illinois",Southern Illinois University Edwardsville,88.17204301075269
"Atlantis University, Miami, Florida",Florida Atlantic University,83.87096774193549
"University of Wollongong, Dubai Campus",University of Wollongong Dubai,88.23529411764706
"Ajman University, Ajman",Ajman University,82.05128205128204
"Middlesex University, Dubai Campus",Middlesex University (Dubai),83.87096774193549
"Hult International Business School, Dubai Campus",Hult International Business School,82.92682926829268
"S P Jain School of Global Management, Dubai Campus",SP Jain School of Global Management Dubai,87.91208791208791
"Institute of Management Technology (IMT), Dubai",European Institute of Management and Technology (EIMT),85.14851485148515
"University of Wollongong, Malaysia",University of Wollongong Dubai,84.375
"Southern Alberta Institute of Technology, Calgary, Alberta",Southern Alberta Institute of Technology,81.63265306122449
"Northern Alberta Institute of Technology, Edmonton, Alberta",Northern Alberta Institute of Technology,80.8080808080808
"Manitoba Institute of Trades and Technology, Winnipeg, Manitoba",Manitoba Institute of Trades and Technology,81.13207547169812
James Cook University (JCU),James Cook University,87.5
S P Jain School of Global Management,SP Jain School of Global Management Dubai,88.31168831168831
"Trinity College Dublin, Dublin",Trinity College Dublin,84.61538461538461
"University College Cork, Cork",University College Cork,88.46153846153845
"Dublin City University, Dublin",Dublin City University,84.61538461538461
"National College of Ireland, Dublin",National College of Ireland,87.09677419354838
"Dublin Business School, Dublin",Dublin Business School,84.61538461538461
"IBAT College Dublin, Dublin",IBAT College Dublin,82.6086956521739
"CCT College Dublin, Dublin",CCT College Dublin,81.81818181818181
