id,University Name,Type,Establish Year,City,State,Country,Review Rating,Status
50,Assiniboine Community College,PUBLIC,1961,Brandon,Manitoba,Canada,5.0,DRAFT
276,Martin Luther University of Halle Wittenberg,PUBLIC,1502,Saxton,Saxony-Anhalt,Germany,5.0,DRAFT
86,Felician University,PRIVATE,1942,Rutherford,New Jersey,United States,5.0,DRAFT
252,Leibniz Universität,PUBLIC,1831,Hannover,Lower Saxony,Germany,5.0,DRAFT
209,International Business Academy (IBA),PRIVATE,1991,Syddanmark,Syddanmark,Denmark,5.0,DRAFT
166,Hochschule Furtwangen University,PUBLIC,1850,Furtwangen,Baden-Württemberg,Germany,5.0,DRAFT
31,Alpha College of Business and Technology,PRIVATE,2008,Toronto,Ontario,Canada,5.0,DRAFT
179,Ecole Conte School,PRIVATE,1949,Paris,Paris,France,5.0,DRAFT
36,Anhalt University of Applied Sciences (HS Anhalt),PUBLIC,1992,Saxony,Saxony,United States,5.0,DRAFT
214,INTO - Hofstra University,PRIVATE,1935,Hempstead,New York,United States,5.0,DRAFT
226,INTO - University of Massachusetts Amherst,PUBLIC,1863,Amherst Center,Massachusetts,United States,5.0,DRAFT
177,Griffith University,PUBLIC,1971,Gold Coast,Queensland,Australia,5.0,DRAFT
148,Hamburg University of Applied Sciences,PUBLIC,1970,Hamburg,Hamburg,United States,5.0,DRAFT
30,Alliant International University,PRIVATE,2001,California City,California,United States,5.0,DRAFT
7,Adler University,PRIVATE,1952,Vancouver,British Columbia,Canada,5.0,PUBLISH
217,INTO - Long Island University-Brooklyn,PRIVATE,1926,New York,New York,United States,5.0,DRAFT
510,ISM-International School of Management Frankfurt Campus,PRIVATE,2007,Frankfurt am Main,Hesse,Germany,4.2,DRAFT
55,Atlantis University,PRIVATE,1975,Miami,Florida,United States,5.0,DRAFT
512,National Research University Higher School of Economics,PUBLIC,1992,Myasnitskaya Ulitsa,Moscow,Russia,4.5,DRAFT
165,Hochschule Fulda University of Applied Sciences,PUBLIC,1974,Fulda,Hesse,Germany,5.0,DRAFT
225,INTO - Thomas Jefferson University,PUBLIC,1824,Philadelphia,Pennsylvania,United States,5.0,DRAFT
215,INTO - Illinois State University,PUBLIC,1857,Normal,Illinois,United States,5.0,DRAFT
8,Ajman University,PRIVATE,1988,Ajman,Ajman,United Arab Emirates,5.0,PUBLISH
23,Britts Imperial University College,PRIVATE,1892,Sharjah,Sharjah,United Arab Emirates,5.0,DRAFT
228,IU University of Applied Sciences,PRIVATE,1998,Bad Honnef,North Rhine-Westphalia,Germany,5.0,DRAFT
162,Heriot-Watt University (Dubai),PRIVATE,2005,Dubai,Dubai,United Arab Emirates,5.0,DRAFT
211,INTO Colorado State University,PUBLIC,1870,Fort Collins,Colorado,United States,5.0,DRAFT
191,ESDES Business School,PRIVATE,1987,Auvergne,Auvergne,France,5.0,DRAFT
511,RANEPA St. Petersburg,PUBLIC,1991,Sredny pr.,St. Petersburg,Russia,4.2,DRAFT
240,Kent State University,PUBLIC,1910,Ohio,Ohio,United States,5.0,DRAFT
199,Excelia Business School,PRIVATE,2019,Ile-de-France,Ile-de-France,France,5.0,DRAFT
169,Hochscule Bielefeld University of Applied Sciences and Arts (HSBI),PUBLIC,1971,North Rhine-Westphalia,North Rhine-Westphalia,Germany,5.0,DRAFT
152,Hawaii Pacific University,PRIVATE,1965,Honolulu,Hawaii,United States,5.0,DRAFT
