id,University Name,Type,Establish Year,City,State,Country,Review Rating,Status
4,Academy of Art University,PRIVATE,1929,San Francisco,California,United States,5.0,PUBLISH
5,Acadia University,PUBLIC,1838,Wolfville,Nova Scotia,Canada,5.0,PUBLISH
7,Adler University,PRIVATE,1952,Vancouver,British Columbia,Canada,5.0,PUBLISH
9,Bauhaus University,PUBLIC,1996,Wiemar,Thuringia,Germany,5.0,PUBLISH
10,Algoma University,PUBLIC,1965,Brampton,Ontario,Canada,5.0,PUBLISH
13,Berlin School of Business and Innovation (BSBI),PRIVATE,2014,Berlin,Berlin,Germany,5.0,PUBLISH
14,Bielefeld University,PUBLIC,1969,Bielefeld,Bielefeld,Germany,5.0,PUBLISH
15,Binghamton University,PUBLIC,1946,Binghamton,New York,United States,5.0,DRAFT
16,BITS Pilani Dubai,PRIVATE,2000,Dubai,Dubai,United Arab Emirates,5.0,DRAFT
17,Bond University,PRIVATE,1989,Gold Coast,Queensland,Australia,5.0,DRAFT
18,Bow Valley College,PUBLIC,1965,Calgary,Alberta,Canada,5.0,DRAFT
20,Brandeis University,PRIVATE,1948,Waltham,Massachusetts,United States,5.0,DRAFT
22,British Columbia Institute of Technology,PUBLIC,1960,Burnaby,British Columbia,Canada,5.0,DRAFT
23,Britts Imperial University College,PRIVATE,1892,Sharjah,Sharjah,United Arab Emirates,5.0,DRAFT
24,Brock University,PUBLIC,1964,St. Catharines,Ontario,Canada,5.0,DRAFT
27,Burgundy School of Business,PUBLIC,1899,Bourgogne,Bourgogne,France,5.0,DRAFT
28,Algonquin College,PUBLIC,1967,Ottawa,Ontario,Canada,5.0,DRAFT
31,Alpha College of Business and Technology,PRIVATE,2008,Toronto,Ontario,Canada,5.0,DRAFT
35,California Institute of The Arts,PRIVATE,1961,Los Angeles,California,United States,5.0,DRAFT
36,Anhalt University of Applied Sciences (HS Anhalt),PUBLIC,1992,Saxony,Saxony,United States,5.0,DRAFT
37,California Lutheran University,PRIVATE,1959,Thousand Oaks,California,United States,5.0,DRAFT
38,California State University Dominguez Hills,PUBLIC,1960,Carson,California,United States,5.0,DRAFT
39,California State University East Bay,PUBLIC,1957,Hayward,California,United States,5.0,DRAFT
40,California State University Fresno,PUBLIC,1911,Fresno,California,United States,5.0,DRAFT
42,California State University Fullerton,PUBLIC,1957,Fullerton,California,United States,5.0,DRAFT
43,California State University Long Beach,PUBLIC,1998,Long Beach,California,United States,5.0,DRAFT
44,Arizona State University,PUBLIC,1885,Tempe,Arizona,United States,5.0,DRAFT
45,California State University Monterey Bay,PUBLIC,1994,California,California,United States,5.0,DRAFT
46,Arkansas State University,PUBLIC,1909,Arkansas,Arkansas,United States,5.0,DRAFT
47,California State University Northridge,PUBLIC,1958,Los Angeles,California,United States,5.0,DRAFT
48,Cambrian College,PUBLIC,1967,Greater Sudbury,Ontario,Canada,5.0,DRAFT
49,Aspire Business School Barcelona,PRIVATE,2016,Barcelona,Barcelona,Spain,5.0,DRAFT
53,Athabasca University,PUBLIC,1970,Athabasca,Alberta,Canada,5.0,DRAFT
54,Canadore College,PUBLIC,1967,North Bay,Ontario,Canada,5.0,DRAFT
56,Cape Breton University,PUBLIC,1951,Sydney,Nova Scotia,Canada,5.0,DRAFT
57,Capilano University,PUBLIC,1968,North Vancouver,British Columbia,Canada,5.0,DRAFT
59,Carnegie Mellon University,PRIVATE,1900,Pittsburgh,Pennsylvania,United States,5.0,DRAFT
61,CCT College Dublin,PRIVATE,2005,Dublin,Dublin,Ireland,5.0,DRAFT
62,Cegep De La Gaspesie Et Des Iles,PUBLIC,1968,Gaspe,Quebec,Canada,5.0,DRAFT
63,Centennial College,PUBLIC,1966,Toronto,Ontario,Canada,5.0,DRAFT
64,Central European University,PRIVATE,1991,Budapest,Budapest,Hungary,5.0,DRAFT
66,Central Michigan University,PRIVATE,1892,Mount Pleasant,Michigan,United States,5.0,DRAFT
67,Chalmers University of Technology,PRIVATE,1829,Gothenburg,Västra Götaland,Sweden,5.0,DRAFT
68,Chapman University,PRIVATE,1961,Orange,California,United States,5.0,DRAFT
69,Fachhochschule Dortmund - University of Applied Sciences and Arts,PUBLIC,1971,North Rhine-Westphalia,North Rhine-Westphalia,Germany,5.0,DRAFT
70,Charles Darwin University,PUBLIC,2003,Darwin,Northern Territory,Australia,5.0,DRAFT
71,Fachhochschule Kiel University of Applied Sciences,PUBLIC,1969,Schleswig,Schleswig-Holstein,Germany,5.0,DRAFT
74,Charles Sturt University,PUBLIC,1989,Bathurst,New South Wales,Australia,5.0,DRAFT
75,Fairfield University,PRIVATE,1942,Fairfield,Connecticut,United States,5.0,DRAFT
77,Fairleigh Dickinson University,PRIVATE,1942,Vancouver,British Columbia,Canada,5.0,DRAFT
79,Chemnitz University of Technology,PUBLIC,1836,Chemnitz,Saxony,Germany,5.0,DRAFT
83,City University of New York,PUBLIC,1961,New York,New York,United States,5.0,DRAFT
85,Auburn University,PUBLIC,1856,Waltham,Alabama,United States,5.0,DRAFT
87,Ferris State University,PRIVATE,1884,Big Rapids,Michigan,United States,5.0,DRAFT
90,Clark University,PRIVATE,1887,Worcester,Massachusetts,United States,5.0,DRAFT
91,Fitchburg State University,PUBLIC,1894,Fitchburg,Massachusetts,United States,5.0,DRAFT
92,Clemson University,PUBLIC,1889,Clemson,South Carolina,United States,5.0,DRAFT
93,Fleming College,PRIVATE,1967,Peterborough,Ontario,Canada,5.0,DRAFT
94,Cleveland State University,PUBLIC,1964,Cleveland,Ohio,United States,5.0,DRAFT
95,Flinders University,PUBLIC,1966,Adelaide,South Australia,Australia,5.0,DRAFT
96,Coast Mountain College,PUBLIC,1975,Terrace,British Columbia,Canada,5.0,DRAFT
97,Florida Atlantic University,PUBLIC,1961,Boca Raton,Florida,United States,5.0,DRAFT
101,College National de science et technology,PRIVATE,2019,Montreal,Quebec,Canada,5.0,DRAFT
103,College of New Caledonia,PUBLIC,1969,Prince George,British Columbia,Canada,5.0,DRAFT
105,Cologne Business School,PRIVATE,1993,Cologne,North Rhine-Westphalia,Germany,5.0,DRAFT
106,Colorado State University,PUBLIC,1870,Fort Collins,Colorado,United States,5.0,DRAFT
109,Concordia University of Edmonton,PRIVATE,1921,Edmonton,Alberta,Canada,5.0,DRAFT
110,Conestoga College,PUBLIC,1966,Kitchener,Ontario,Canada,5.0,DRAFT
111,Conestoga College Doon,PUBLIC,1966,Kitchener,Ontario,Canada,5.0,DRAFT
112,Conestoga College Waterloo,PUBLIC,1966,Waterloo,Ontario,Canada,5.0,DRAFT
113,Confederation College,PUBLIC,1967,Thunder Bay,Ontario,Canada,5.0,DRAFT
115,Copenhagen Business School,PUBLIC,1917,Frederiksberg and Copenhagen,Capital Region,Denmark,5.0,DRAFT
119,Franklin University,PRIVATE,1902,Columbus,Ohio,United States,5.0,DRAFT
120,Fraser International College (NAVITAS),PRIVATE,2006,Burnaby,British Columbia,Canada,5.0,DRAFT
123,Gannon University,PRIVATE,1925,Erie,Pennsylvania,United States,5.0,DRAFT
124,Cornell University,PRIVATE,1865,Ithaca,New York,United States,5.0,DRAFT
125,CQUniversity,PRIVATE,1865,Rockhampton,Queensland,Australia,5.0,DRAFT
126,Crandall University,PRIVATE,1949,Moncton,New Brunswick,Canada,5.0,DRAFT
127,Georg August University of Gottingen,PUBLIC,1734,Lower Saxony,Lower Saxony,Germany,5.0,DRAFT
129,George Brown College,PUBLIC,1967,Toronto,Ontario,Canada,5.0,DRAFT
